product,url product lookup
Cake,http://dbpedia.org/resource/Babka_(cake)
Cake,http://dbpedia.org/resource/Campanile_(cake)
Cake,http://dbpedia.org/resource/Merveilleux_(cake)
Cake,http://dbpedia.org/resource/Charlotte_(cake)
Cake,http://dbpedia.org/resource/OE-Cake!
Cake,http://dbpedia.org/resource/Tu_(cake)
Cake,http://dbpedia.org/resource/Cake
Cake,http://dbpedia.org/resource/Mazurek_(cake)
Cake,http://dbpedia.org/resource/Parkin_(cake)
Cake,http://dbpedia.org/resource/Financier_(cake)
Pudding,http://dbpedia.org/resource/Pudding
Pudding,http://dbpedia.org/resource/Milky_(pudding)
Pudding,http://dbpedia.org/resource/Fruit_hat_(pudding)
Pudding,http://dbpedia.org/resource/The_Hasty-Pudding
Pudding,http://dbpedia.org/resource/Figgy_duff_(pudding)
Pudding,http://dbpedia.org/resource/Pudding_corn
Pudding,http://dbpedia.org/resource/White_pudding
Pudding,http://dbpedia.org/resource/Christmas_pudding
Pudding,http://dbpedia.org/resource/Pistachio_pudding
Pudding,http://dbpedia.org/resource/Persimmon_pudding
Frozen pizza,http://dbpedia.org/resource/Celeste_(frozen_pizza)
Frozen pizza,http://dbpedia.org/resource/Frozen_(EP)
Frozen pizza,http://dbpedia.org/resource/Frozen_(House)
Frozen pizza,http://dbpedia.org/resource/Frozen:_Olaf's_Quest
Frozen pizza,http://dbpedia.org/resource/Frozen_(Madonna_song)
Frozen pizza,http://dbpedia.org/resource/Frozen_(Delain_song)
Frozen pizza,http://dbpedia.org/resource/Frozen_(album)
Frozen pizza,http://dbpedia.org/resource/Frozen_(franchise)
Frozen pizza,http://dbpedia.org/resource/Frozen_(soundtrack)
Frozen pizza,http://dbpedia.org/resource/Frozen
Frozen pizza,http://dbpedia.org/resource/Frozen_Head
Baking powder,http://dbpedia.org/resource/Baking_powder
Baking powder,http://dbpedia.org/resource/Baking
Baking powder,http://dbpedia.org/resource/Crust_(baking)
Baking powder,http://dbpedia.org/resource/Blind-baking
Baking powder,http://dbpedia.org/resource/Baking_mix
Baking powder,http://dbpedia.org/resource/Baking_stone
Baking powder,http://dbpedia.org/resource/Baking_chocolate
Baking powder,http://dbpedia.org/resource/Edwards_Baking
Baking powder,http://dbpedia.org/resource/Yamazaki_Baking
Baking powder,http://dbpedia.org/resource/Baking_Pot
Baking powder,http://dbpedia.org/resource/Baking_powder_submarine
Yogurt,http://dbpedia.org/resource/Yogurt
Yogurt,http://dbpedia.org/resource/Brown_Cow_(yogurt)
Yogurt,http://dbpedia.org/resource/Soy_yogurt
